,OrigNames,RevisedNames
1,Nep_charoba,Nep_charoba
2,Nep_comma,Nep_comma
3,Nep_cormoroa,Nep_cormoroa
4,Nep_densoi,Nep_densoi
5,Nep_discifera,Nep_discifera
6,Nep_funebris,Nep_funebris
7,Nep_hespera,Macroglossinae_Nephele_hespera
8,Nep_joiceyi,Nep_joiceyi
9,Nep_lannini,Nep_lannini
10,Nep_maculosa,Nep_maculosa
11,Nep_monostig,Nep_monostig
12,Nep_oenopi,Nep_oenopi
13,Nep_peneus,Nep_peneus
14,Nep_rectangu,Nep_rectangu
15,Nep_rosae,Nep_rosae
16,Nep_subvaria,Nep_subvaria
17,Nep_vau,Nep_vau
18,Nep_xylina,Nep_xylina
19,Nep_accentif,Nep_accentif
20,Nep_aequivale,Nep_aequivale
21,Nep_argentif,Nep_argentif
22,Nep_bipartit,Nep_bipartit
23,Odo_magnii,Odo_magnii
24,Odo_pusilus,Odo_pusilus
25,Per_acteus,Macroglossinae_Pergesa_acteus
26,Pse_beniten,Pse_beniten
27,Pse_excellen,Pse_excellen
28,Ret_afghanis,Ret_afghanis
29,Ret_amseli,Ret_amseli
30,Ret_brandti,Ret_brandti
31,Ret_komarov,Ret_komarov
32,Rha_acuta,Macroglossinae_Rhagastis_acuta
33,Rha_albomarg,Macroglossinae_Rhagastis_albomarginatus
34,Rha_binoculat,Rha_binoculat
35,Rha_castor,Macroglossinae_Rhagastis_castor
36,Rha_confusa,Macroglossinae_Rhagastis_confusa
37,Rha_diehli,Rha_diehli
38,Rha_gloriosa,Macroglossinae_Rhagastis_gloriosa
39,Rha_lambert,Rha_lambert
40,Rha_lunata,Macroglossinae_Rhagastis_lunata
41,Rha_meridiona,Rha_meridiona
42,Rha_mogoli,Rha_mogoli
43,Rha_olivacea,Macroglossinae_Rhagastis_olivacea
44,Rha_rubetra,Rha_rubetra
45,Rha_trilline,Rha_trilline
46,Rha_velata,Macroglossinae_Rhagastis_velata
47,Rho_marshall,Rho_marshall
48,Rho_opheltes,Rho_opheltes
49,Sph_ansorgei,Sph_ansorgei
50,Sph_gorgonia,Sph_gorgonia
51,Sph_kudjaen,Sph_kudjaen
52,Sph_malagass,Sph_malagass
53,Sph_nana,Sph_nana
54,Sph_obscuru,Sph_obscuru
55,Sph_pumilo,Sph_pumilo
56,Mac_vidua,Mac_vidua
57,Mac_vitiense,Mac_vitiense
58,Mac_adustum,Mac_adustum
59,Mac_aesalon,Mac_aesalon
60,Mac_afficti,Mac_afficti
61,Mac_albigutt,Mac_albigutt
62,Mac_alboline,Mac_alboline
63,Mac_alcedo,Mac_alcedo
64,Mac_alluaudi,Mac_alluaudi
65,Mac_amoenum,Mac_amoenum
66,Mac_aqula,Mac_aqula
67,Mac_arimasi,Mac_arimasi
68,Mac_asimili,Mac_asimili
69,Mac_augarra,Mac_augarra
70,Mac_avicula,Mac_avicula
71,Mac_belis,Mac_belis
72,Mac_bifacia,Mac_bifacia
73,Mac_bombylan,Mac_bombylan
74,Mac_buni,Mac_buni
75,Mac_cadioui,Mac_cadioui
76,Mac_caldum,Mac_caldum
77,Mac_calescens,Mac_calescens
78,Mac_castaneum,Macroglossinae_Macroglossum_macrosp2
79,Mac_cheni,Mac_cheni
80,Mac_clemensi,Mac_clemensi
81,Mac_corythus,Mac_corythus
82,Mac_divergen,Mac_divergen
83,Mac_doherty,Mac_doherty
84,Mac_eichhorn,Mac_eichhorn
85,Mac_errans,Mac_errans
86,Mac_faro,Mac_faro
87,Mac_fritzei,Mac_fritzei
88,Mac_fruhstorf,Mac_fruhstorf
89,Mac_glaucopt,Mac_glaucopt
90,Mac_godeffr,Mac_godeffr
91,Mac_gyrans,Mac_gyrans
92,Mac_haslami,Mac_haslami
93,Mac_haxaire,Mac_haxaire
94,Mac_hemichro,Mac_hemichro
95,Mac_hirundo,Mac_hirundo
96,Mac_jani,Mac_jani
97,Mac_joannis,Mac_joannis
98,Mac_kishada,Mac_kishada
99,Mac_kitching,Mac_kitching
100,Mac_lepidum,Mac_lepidum
101,Mac_lifuensi,Mac_lifuensi
102,Mac_limata,Mac_limata
103,Mac_malitum,Mac_malitum
104,Mac_mediovit,Mac_mediovit
105,Mac_meeki,Mac_meeki
106,Mac_melanole,Mac_melanole
107,Mac_melas,Mac_melas
108,Mac_micacea,Mac_micacea
109,Mac_milvus,Mac_milvus
110,Mac_mitcheli,Mac_mitcheli
111,Mac_moecki,Mac_moecki
112,Mac_mouldsi,Mac_mouldsi
113,Mac_multifasc,Mac_multifasc
114,Mac_nemesi,Mac_nemesi
115,Mac_neotrogl,Mac_neotrogl
116,Mac_niguellu,Mac_niguellu
117,Mac_nubillum,Mac_nubillum
118,Mac_nycteris,Mac_nycteris
119,Mac_obscura,Mac_obscura
120,Mac_pachyceru,Mac_pachyceru
121,Mac_particol,Mac_particol
122,Mac_passalu,Mac_passalu
123,Mac_paukstadt,Mac_paukstadt
124,Mac_poecilum,Mac_poecilum
125,Mac_promethe,Mac_promethe
126,Mac_pyrrhost,Mac_pyrrhost
127,Mac_queenslan,Mac_queenslan
128,Mac_rectans,Mac_rectans
129,Mac_regulus,Mac_regulus
130,Mac_reithi,Mac_reithi
131,Mac_saga,Mac_saga
132,Mac_schnitzl,Mac_schnitzl
133,Mac_semifa,Mac_semifa
134,Mac_soror,Mac_soror
135,Mac_spilonot,Mac_spilonot
136,Mac_stellat,Mac_stellat
137,Mac_stevens,Mac_stevens
138,Mac_sitiene,Mac_sitiene
139,Mac_stigma,Mac_stigma
140,Mac_sulai,Mac_sulai
141,Mac_tenebros,Mac_tenebros
142,Mac_tenimbe,Mac_tenimbe
143,Mac_tigri,Mac_tigri
144,Mac_trochilus,Mac_trochilus
145,Mac_troglody,Mac_troglody
146,Mac_ungues,Mac_ungues
147,Mac_vacillans,Mac_vacillans
148,Mac_vanderber,Mac_vanderber
149,Mac_variegat,Mac_variegat
150,Mac_vicinum,Mac_vicinum
151,Mic_chaochau,Mic_chaochau
152,Mic_pumilum,Mic_pumilum
153,Neo_himachal,Neo_himachal
154,Neo_hyas,Neo_hyas
155,Neo_masurien,Neo_masurien
156,Neo_montana,Neo_montana
157,Tem_albinea,Tem_albinea
158,Tem_angulosa,Tem_angulosa
159,Tem_argyrop,Tem_argyrop
160,Tem_astrofasc,Tem_astrofasc
161,Tem_avinoff,Tem_avinoff
162,Tem_bouyeri,Tem_bouyeri
163,Tem_burdoni,Tem_burdoni
164,Tem_cameroun,Tem_cameroun
165,Tem_crenulat,Tem_crenulat
166,Tem_curtula,Tem_curtula
167,Tem_dierli,Tem_dierli
168,Tem_elegans,Tem_elegans
169,Tem_elisabet,Tem_elisabet
170,Tem_engis,Tem_engis
171,Tem_eranga,Tem_eranga
172,Tem_fumosa,Tem_fumosa
173,Tem_funebris,Tem_funebris
174,Tem_grandidi,Tem_grandidi
175,Tem_griseta,Tem_griseta
176,Tem_hollandi,Tem_hollandi
177,Tem_iapygoid,Tem_iapygoid
178,Tem_inornatum,Tem_inornatum
179,Tem_kaguru,Tem_kaguru
180,Tem_leighi,Tem_leighi
181,Tem_livida,Tem_livida
182,Tem_marginat,Tem_marginat
183,Tem_masungai,Tem_masungai
184,Tem_mirabilis,Tem_mirabilis
185,Tem_murina,Tem_murina
186,Tem_namaqua,Tem_namaqua
187,Tem_natalis,Tem_natalis
188,Tem_nephele,Tem_nephele
189,Tem_nitida,Tem_nitida
190,Tem_ntombi,Tem_ntombi
191,Tem_palpalis,Tem_palpalis
192,Tem_peckover,Tem_peckover
193,Tem_plagiata,Tem_plagiata
194,Tem_pseudopy,Tem_pseudopy
195,Tem_pylades,Tem_pylades
196,Tem_pylas,Tem_pylas
197,Tem_radiata,Tem_radiata
198,Tem_rattayi,Tem_rattayi
199,Tem_reutling,Tem_reutling
200,Tem_roberts,Tem_roberts
201,Tem_rungwe,Tem_rungwe
202,Tem_sardinus,Tem_sardinus
203,Tem_scheveni,Tem_scheveni
204,Tem_scitula,Tem_scitula
205,Tem_spiritus,Tem_spiritus
206,Tem_stevensi,Tem_stevensi
207,Tem_subapica,Tem_subapica
208,Tem_swynnert,Tem_swynnert
209,Tem_trapeyoid,Tem_trapeyoid
210,Tem_turlini,Tem_turlini
211,Tem_ulugur,Tem_ulugur
212,Tem_wollasto,Tem_wollasto
213,Tem_zantus,Tem_zantus
214,Tem_lasti,Tem_lasti
215,The_acuta,The_acuta
216,The_alecto,Macroglossinae_Theretra_alecto
217,The_boisduva,Macroglossinae_Theretra_boisduvalii
218,The_cajus,The_cajus
219,The_carpensis,The_carpensis
220,The_castanea,The_castanea
221,The_catherin,The_catherin
222,The_celata,The_celata
223,The_clotho,Macroglossinae_Theretra_clotho
224,The_gala,The_gala
225,The_gnoma,The_gnoma
226,The_griseomar,Macroglossinae_Theretra_griseomarginata
227,The_hausmann,The_hausmann
228,The_incarnata,The_incarnata
229,The_indistin,The_indistin
230,The_inormata,The_inormata
231,The_insignis,The_insignis
232,The_insular,The_insular
233,The_japonica,The_japonica
234,The_jugurtha,The_jugurtha
235,The_latrelli,Macroglossinae_Theretra_latreillii
236,The_lifuens,The_lifuens
237,The_lycetus,The_lycetus
238,The_manilae,The_manilae
239,The_margarita,The_margarita
240,The_molops,The_molops
241,The_monteiro,The_monteiro
242,The_muricolor,The_muricolor
243,The_natashae,The_natashae
244,The_neoclot,The_neoclot
245,The_nessus,Macroglossinae_Theretra_nessus
246,The_oldenla,Macroglossinae_Theretra_oldenlandiae
247,The_orpheus,The_orpheus
248,The_pallicost,Macroglossinae_Theretra_pallicosta
249,The_perkeo,The_perkeo
250,The_polistrat,The_polistrat
251,The_queensla,The_queensla
252,The_radiosa,The_radiosa
253,The_rhesus,The_rhesus
254,The_silhet,The_silhet
255,The_suffusca,Macroglossinae_Theretra_suffusa
256,The_sugii,The_sugii
257,The_sumatren,The_sumatren
258,The_tabulens,The_tabulens
259,The_tessmani,The_tessmani
260,The_tibetiana,The_tibetiana
261,The_tomasi,The_tomasi
262,The_tryoni,The_tryoni
263,The_turneri,The_turneri
264,The_viridis,The_viridis
265,Dei_rivulari,Dei_rivulari
266,Dei_askoidens,Dei_askoidens
267,Dei_elpenor,Dei_elpenor
268,Dei_pocellus,Dei_pocellus
269,Eli_dolichus,Eli_dolichus
270,Eli_linigera,Eli_linigera
271,Enp_assamensi,Enp_assamensi
272,Enp_borneens,Enp_borneens
273,Enp_vigens,Enp_vigens
274,Euc_megaera,Euc_megaera
275,Eup_angulata,Eup_angulata
276,Eup_automedon,Eup_automedon
277,Eup_busiris,Macroglossinae_Eupanacra_busiris
278,Eup_cadioui,Eup_cadioui
279,Eup_elegantu,Eup_elegantu
280,Eup_greetae,Eup_greetae
281,Eup_harmani,Eup_harmani
282,Eup_hollowayi,Eup_hollowayi
283,Eup_malaya,Eup_malaya
284,Eup_metalica,Eup_metalica
285,Eup_micholtz,Eup_micholtz
286,Eup_mindana,Eup_mindana
287,Eup_mydon,Eup_mydon
288,Eup_perfecta,Macroglossinae_Eupanacra_perfecta
289,Eup_poulardi,Eup_poulardi
290,Eup_psaltria,Eup_psaltria
291,Eup_pulchella,Eup_pulchella
292,Eup_radians,Eup_radians
293,Eup_regular,Eup_regular
294,Eup_sinuata,Macroglossinae_Eupanacra_sinuata
295,Eup_splende,Eup_splende
296,Eup_treadaw,Eup_treadaw
297,Eup_tridates,Eup_tridates
298,Eup_variolos,Macroglossinae_Eupanacra_variolosa
299,Eup_waloens,Eup_waloens
300,Eur_alleni,Eur_alleni
301,Eur_bhaga,Eur_bhaga
302,Eur_falcata,Eur_falcata
303,Eur_geoffrey,Eur_geoffrey
304,Eur_molucca,Eur_molucca
305,Eur_obtrunca,Eur_obtrunca
306,Eur_shelford,Eur_shelford
307,Dap_minima,Dap_minima
308,Dap_moorei,Dap_moorei
309,Dap_nerii,Dap_nerii
310,Dap_placida,Dap_placida
311,Dap_protunde,Dap_protunde
312,Dap_torenia,Dap_torenia
313,Dap_vriesi,Dap_vriesi
314,Dap_dohertyi,Dap_dohertyi
315,Dap_hayesi,Dap_hayesi
316,Dap_hypothous,Macroglossinae_Daphnis_hypothous
317,Dap_kitching,Dap_kitching
318,Dap_layardii,Dap_layardii
319,Gig_mirabilis,Gig_mirabilis
320,Gna_australie,Gna_australie
321,Gna_brendeli,Gna_brendeli
322,Gna_dabrera,Gna_dabrera
323,Gna_eras,Gna_eras
324,Gna_erotus,Gna_erotus
325,Gna_fijiensis,Gna_fijiensis
326,Gna_heliodes,Gna_heliodes
327,Gna_meeki,Gna_meeki
328,Gna_saccoi,Gna_saccoi
329,Gna_vanatuen,Gna_vanatuen
330,Gri_marchand,Gri_marchand
331,Gri_preechar,Gri_preechar
332,Hay_farintaen,Hay_farintaen
333,Hay_triopus,Hay_triopus
334,Hip_adelinae,Hip_adelinae
335,Hip_aporodes,Hip_aporodes
336,Hip_aurora,Hip_aurora
337,Hip_balsamin,Hip_balsamin
338,Hip_batschii,Hip_batschii
339,Hip_boerhavi,Macroglossinae_Hippotion_boerhaviae
340,Hip_brennus,Hip_brennus
341,Hip_brunnea,Hip_brunnea
342,Hip_butleri,Hip_butleri
343,Hip_celerio,Macroglossinae_Hippotion_celerio
344,Hip_chloris,Hip_chloris
345,Hip_commatum,Hip_commatum
346,Hip_dexippus,Hip_dexippus
347,Hip_echleclus,Hip_echleclus
348,Hip_eson,Hip_eson
349,Hip_geryon,Hip_geryon
350,Hip_gracilis,Hip_gracilis
351,Hip_griveaud,Hip_griveaud
352,Hip_irregula,Hip_irregula
353,Hip_joiceyi,Hip_joiceyi
354,Hip_melichari,Hip_melichari
355,Hip_moorei,Hip_moorei
356,Hip_osiris,Hip_osiris
357,Hip_paukstad,Hip_paukstad
358,Hip_pentagram,Hip_pentagram
359,Hip_psammochr,Hip_psammochr
360,Hip_rafflesi,Hip_rafflesi
361,Hip_rebeli,Hip_rebeli
362,Hip_rosae,Hip_rosae
363,Hip_roseipenn,Hip_roseipenn
364,Hip_rosetta,Hip_rosetta
365,Hip_saclavoru,Hip_saclavoru
366,Hip_scrofa,Hip_scrofa
367,Hip_socotren,Hip_socotren
368,Hip_stigma,Hip_stigma
369,Hip_talboti,Hip_talboti
370,Hip_velox,Hip_velox
371,Hyl_biguttata,Hyl_biguttata
372,Hyl_centralas,Hyl_centralas
373,Hyl_chamyla,Hyl_chamyla
374,Hyl_churkini,Hyl_churkini
375,Hyl_costata,Hyl_costata
376,Hyl_dahli,Hyl_dahli
377,Hyl_euphorbia,Hyl_euphorbia
378,Hyl_exilis,Hyl_exilis
379,Hyl_gallii,Hyl_gallii
380,Hyl_hippophae,Hyl_hippophae
381,Hyl_livornica,Hyl_livornica
382,Hyl_livornico,Hyl_livornico
383,Hyl_nervosa,Hyl_nervosa
384,Hyl_nicaea,Hyl_nicaea
385,Hyl_robertsi,Hyl_robertsi
386,Hyl_salangen,Hyl_salangen
387,Hyl_siehei,Hyl_siehei
388,Hyl_stroehlei,Hyl_stroehlei
389,Hyl_tithymal,Hyl_tithymal
390,Hyl_verperti,Hyl_verperti
391,Hyl_zylgophy,Hyl_zylgophy
392,Hyp_butleri,Hyp_butleri
393,Hyp_insignis,Hyp_insignis
394,Hyp_neglecta,Hyp_neglecta
395,Leu_alterhiru,Leu_alterhiru
396,Leu_commasia,Leu_commasia
397,Maa_distincta,Maa_distincta
398,Maa_heydeni,Maa_heydeni
399,Aco_anceus,Macroglossinae_Acosmeryx_anceus
400,Aco_beate,Aco_beate
401,Aco_castane,Aco_castane
402,Aco_formosan,Aco_formosan
403,Aco_haxaire,Aco_haxaire
404,Aco_miskini,Aco_miskini
405,Aco_miskinoi,Aco_miskinoi
406,Aco_naga,Macroglossinae_Acosmeryx_naga
407,Aco_omissa,Macroglossinae_Acosmeryx_omissa
408,Aco_pseudomi,Aco_pseudomi
409,Aco_pseudona,Aco_pseudona
410,Aco_sericeus,Macroglossinae_Acosmeryx_sericeus
411,Aco_servilli,Macroglossinae_Acosmeryx_shervillii
412,Aco_sinjaevi,Macroglossinae_Acosmeryx_sinjaevi
413,Aco_socrates,Aco_socrates
414,Aco_tenggare,Aco_tenggare
415,Aco_harteri,Macroglossinae_Acosmerycoides_harterti
416,Alt_oktedien,Alt_oktedien
417,Amp_dolichoi,Macroglossinae_Ampelophaga_dolichoides
418,Amp_khasiana,Macroglossinae_Ampelophaga_khasiana
419,Amp_nikolae,Amp_nikolae
420,Amp_rubigino,Macroglossinae_Ampelophaga_rubiginosa
421,Amp_thomasi,Amp_thomasi
422,Ang_bismarck,Ang_bismarck
423,Ang_boisduval,Ang_boisduval
424,Ang_chelsea,Ang_chelsea
425,Ang_kai,Ang_kai
426,Ang_krishana,Ang_krishana
427,Ang_meeki,Ang_meeki
428,Ang_papuana,Ang_papuana
429,Ang_testacea,Macroglossinae_Angonyx_testacea
430,Ang_williami,Ang_williami
431,Ant_achlora,Ant_achlora
432,Ant_anomala,Ant_anomala
433,Ant_camerou,Ant_camerou
434,Ant_efulani,Ant_efulani
435,Ant_lunata,Ant_lunata
436,Ant_maculifer,Ant_maculifer
437,Ant_marcida,Ant_marcida
438,Ant_muscos,Ant_muscos
439,Ate_westerman,Ate_westerman
440,Bas_aureata,Bas_aureata
441,Bas_charis,Bas_charis
442,Bas_latricorn,Bas_latricorn
443,Bas_medea,Bas_medea
444,Bas_schenki,Bas_schenki
445,Cec_aegrota,Macroglossinae_Cechenena_aegrota
446,Cec_chimaera,Cec_chimaera
447,Cec_helops,Macroglossinae_Cechenena_helops
448,Cec_lineosa,Macroglossinae_Cechetra_lineosa
449,Cec_minor,Macroglossinae_Cechetra_minor
450,Cec_mirabili,Cec_mirabili
451,Cec_pollux,Cec_pollux
452,Cec_scotti,Macroglossinae_Cechetra_scotti
453,Cec_subangust,Macroglossinae_Cechetra_subangustata
454,Cec_transpaci,Cec_transpaci
455,Cen_imitans,Cen_imitans
456,Cen_rutherfor,Cen_rutherfor
457,Cha_dohertyi,Cha_dohertyi
458,Cha_ellisoni,Cha_ellisoni
459,Cha_jordani,Cha_jordani
460,Cha_livinsgt,Cha_livinsgt
461,Cha_mbiziens,Cha_mbiziens
462,Cha_meridiona,Cha_meridiona
463,Cha_nyikiana,Cha_nyikiana
464,Cha_usambare,Cha_usambare
465,Cha_zomba,Cha_zomba
466,Ciz_ardenia,Ciz_ardenia
467,Ciz_sculpta,Ciz_sculpta
468,Cla_klotschy,Cla_klotschy
469,Cla_syriaca,Cla_syriaca
470,Dah_falcata,Dah_falcata
471,Dah_hoenei,Dah_hoenei
